,Name,Genre,ESRB_Rating,Platform,Publisher,Developer,Critic_Score,User_Score,Total_Shipped,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year,status,Vgchartzscore,average_rating
3646,Rock Band 3,Misc,T,Wii,MTV Games,Harmonix Music Systems,9.2,,0.64,0.53,0.06,,0.05,2010,1,,9.2
3650,Lost Planet: Extreme Condition,Shooter,T,PS3,Capcom,Capcom,6.3,,0.64,0.31,0.17,0.07,0.08,2008,1,,6.3
3637,Dead Island: Riptide,Action,M,PS3,Deep Silver,Techland,6.6,,0.64,0.26,0.21,0.07,0.1,2013,1,,6.6
3621,Sengoku Basara: Samurai Heroes,Action,T,PS3,Capcom,Capcom,6.1,,0.64,0.17,0.04,0.4,0.02,2010,1,,6.1
3627,Real Heroes: Firefighter,Action,E10,Wii,Conspiracy Entertainment,Epicenter Studios,7.4,,0.64,0.56,0.04,,0.05,2009,1,6.3,6.85
3626,Dragon Ball: Raging Blast 2,Fighting,T,X360,Namco Bandai,Spike,6.0,,0.64,0.49,0.09,0.01,0.05,2010,1,,6.0
3620,Max Payne 2: The Fall of Max Payne,Shooter,M,XB,Rockstar Games,Remedy Entertainment,8.6,,0.64,0.47,0.15,,0.02,2003,1,,8.6
3617,Shin Megami Tensei: Persona 3 Portable,Role-Playing,M,PSP,Atlus,Atlus Co.,8.9,,0.64,0.18,0.07,0.34,0.05,2010,1,,8.9
3614,Crash Bandicoot Purple: Ripto's Rampage,Platform,E,GBA,Vivendi Games,Vicarious Visions,6.7,,0.64,0.46,0.17,,0.01,2004,1,,6.7
3633,Phantasy Star Portable,Role-Playing,T,PSP,Sega,Alfa System,7.1,9.1,0.64,,,,,2009,1,,8.1
3619,Rayman 3D,Platform,E,3DS,Ubisoft,Ubisoft,6.3,,0.64,0.23,0.36,,0.06,2011,1,,6.3
3630,X2: Wolverine's Revenge,Action,T,PS2,Activision,GenePool,5.8,,0.64,0.31,0.24,,0.08,2003,1,,5.8
