,Unnamed: 0,index,Name,Genre,ESRB_Rating,Platform,Publisher,Developer,Critic_Score,User_Score,Total_Shipped,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year,status,Vgchartzscore,average_rating
369,369,2871,Ace Combat 3: Electrosphere,Simulation,E,PS,Namco,Namco,7.6,,0.83,0.22,0.15,0.4,0.05,2000,1,,7.6
370,370,2401,Excitebike 64,Racing,E,N64,Nintendo,Left Field Productions,8.9,,1.0,0.65,0.15,0.19,0.01,2000,1,,8.9
373,373,7543,Armored Core: Master of Arena,Simulation,E,PS,Agetec,From Software,7.2,,0.26,0.07,0.05,0.13,0.02,2000,1,,7.2
374,374,2649,Colin McRae Rally 2.0,Racing,E,PS,Codemasters,Codemasters,8.3,,0.91,0.02,0.8,0.02,0.07,2000,1,,8.3
382,382,10028,Konami Krazy Racers,Racing,E,GBA,Konami,KCEK,7.7,,0.16,0.09,0.03,0.04,0.0,2001,1,,7.7
384,384,53,Grand Theft Auto III,Action,M,PS2,Rockstar Games,DMA Design,9.5,,13.1,6.99,4.51,0.3,1.3,2001,1,,9.5
385,385,8700,Phantasy Star Online,Role-Playing,T,DC,Sega,Sonic Team,8.9,,0.2,,,0.2,,2001,1,,8.9
387,387,6660,KuruKuru Kururin,Puzzle,,GBA,Nintendo,Eighting/Raizing,7.2,,0.31,,,0.3,0.01,2001,1,,7.2
393,393,314,Tony Hawk's Pro Skater 3,Sports,T,PS2,Activision,Neversoft Entertainment,9.1,,4.41,2.66,1.29,0.01,0.46,2001,1,,9.1
394,394,7002,Shadow Hearts,Role-Playing,M,PS2,Midway Games,Sacnoth,7.0,,0.28,0.09,0.07,0.1,0.02,2001,1,,7.0
398,398,9232,Phantasy Star Online Ver. 2,Role-Playing,T,DC,Sega,Sonic Team,8.3,,0.19,,,0.19,0.0,2001,1,,8.3
401,401,8657,Final Fight One,Fighting,E,GBA,Capcom,Capcom,8.2,,0.21,0.09,0.03,0.08,0.0,2001,1,,8.2
402,402,7649,Bomberman Tournament,Puzzle,E,GBA,Activision,Hudson Soft,8.8,,0.25,0.1,0.04,0.1,0.01,2001,1,,8.8
405,405,176,Metal Gear Solid 2: Sons of Liberty,Action,M,PS2,Konami,Konami Computer Entertainment Japan,9.5,7.0,6.05,2.45,2.01,0.87,0.72,2001,1,,8.25
407,407,6262,Klonoa 2: Lunatea's Veil,Platform,E,PS2,Namco,Namco,9.4,,0.33,0.12,0.1,0.08,0.03,2001,1,,9.4
416,416,214,Crash Bandicoot: The Wrath of Cortex,Platform,E,PS2,Universal Interactive,Traveller's Tales,6.9,,5.42,2.07,2.29,0.24,0.82,2001,1,,6.9
418,418,8264,Breath of Fire,Role-Playing,E,GBA,Capcom,Capcom,7.8,,0.22,0.11,0.04,0.06,0.0,2001,1,,7.8
424,424,10407,Shenmue II,Adventure,,DC,Sega,Sega-AM2,8.7,,0.15,,,0.15,0.0,2001,1,,8.7
427,427,2697,Castlevania: Circle of the Moon,Platform,T,GBA,Konami,KCEK,8.9,,0.89,0.6,0.22,0.05,0.02,2001,1,,8.9
429,429,722,Crazy Taxi,Racing,T,PS2,Acclaim Entertainment,Hitmaker,8.2,,2.52,1.13,1.12,0.06,0.22,2001,1,,8.2
431,431,1537,Super Monkey Ball,Puzzle,E,GC,Sega,Amusement Vision,9.0,,1.46,0.95,0.37,0.1,0.04,2001,1,,9.0
436,436,1418,Dark Cloud,Role-Playing,T,PS2,Sony Computer Entertainment,Level 5,8.2,,1.54,0.83,0.44,0.08,0.19,2001,1,,8.2
437,437,929,Project Gotham Racing,Racing,E,XB,Microsoft,Bizarre Creations,8.4,,2.12,1.37,0.61,0.05,0.09,2001,1,,8.4
452,452,3181,Capcom vs. SNK 2: Mark of the Millennium 2001,Fighting,T,PS2,Capcom,Capcom,7.9,,0.75,0.22,0.17,0.3,0.06,2001,1,,7.9
454,454,3169,Zone of the Enders,Simulation,M,PS2,Konami,Konami Computer Entertainment Japan,7.5,,0.75,0.3,0.24,0.13,0.08,2001,1,,7.5
455,455,521,Ace Combat 04: Shattered Skies,Simulation,E,PS2,Namco,Namco,8.9,,3.17,2.06,0.56,0.38,0.17,2001,1,,8.9
456,456,11484,Sonic Adventure 2,Platform,E,DC,Sega,Sonic Team,8.9,,0.12,,,0.12,,2001,1,,8.9
460,460,2932,Tales of Destiny II,Role-Playing,T,PS,Namco,Telenet Japan / Wolfteam,7.5,,0.81,0.06,0.04,0.66,0.05,2001,1,,7.5
461,461,492,Max Payne,Shooter,M,PS2,Rockstar Games,Remedy Entertainment,8.1,,3.31,1.99,1.05,0.05,0.22,2001,1,,8.1
465,465,3823,Wave Race: Blue Storm,Racing,E,GC,Nintendo,Nintendo Software Technology Corporation,8.4,,0.6,0.4,0.1,0.09,0.02,2001,1,,8.4
468,468,4670,Crazy Taxi,Racing,T,GC,Acclaim Entertainment,Hitmaker,7.2,,0.49,0.36,0.09,0.02,0.01,2001,1,,7.2
469,469,1077,Star Wars Rogue Leader: Rogue Squadron II,Simulation,T,GC,LucasArts,Factor 5,9.2,,1.9,1.03,0.75,0.03,0.09,2001,1,,9.2
471,471,1105,The Legend of Zelda: Oracle of Seasons,Adventure,E,GBC,Nintendo,Flagship,9.3,,1.86,0.87,0.52,0.41,0.06,2001,1,,9.3
476,476,11759,The King of Fighters '99,Fighting,T,PS,Agetec,SNK Corporation,7.0,,0.11,,,0.11,0.01,2001,1,,7.0
484,484,1063,The Legend of Zelda: Oracle of Ages,Adventure,E,GBC,Nintendo,Flagship,9.4,,1.92,0.92,0.53,0.41,0.06,2001,1,,9.4
486,486,405,Harry Potter and the Sorcerer's Stone,Action,E,PS,Electronic Arts,Argonaut Games,8.0,,3.73,1.37,2.0,0.14,0.22,2001,1,,8.0
492,492,1266,Harry Potter and the Sorcerer's Stone,Action,E,GBA,Electronic Arts,Griptonite Games,6.6,,1.69,0.87,0.66,0.08,0.08,2001,1,,6.6
493,493,419,Jak and Daxter: The Precursor Legacy,Platform,E,PS2,Sony Computer Entertainment,Naughty Dog,9.0,8.9,3.64,2.08,1.09,0.15,0.33,2001,1,,8.95
496,496,7591,Bomberman Generation,Adventure,E,GC,Majesco,Game Arts,8.4,,0.25,0.15,0.04,0.06,0.01,2002,1,,8.4
499,499,1973,Spider-Man: The Movie,Action,E,GC,Activision,Treyarch,7.6,,1.19,0.86,0.27,0.01,0.04,2002,1,,7.6
502,502,148,Medal of Honor: Frontline,Shooter,T,PS2,Electronic Arts,EA Los Angeles,9.0,,6.83,2.93,2.75,0.17,0.99,2002,1,,9.0
507,507,1721,Spider-Man: The Movie,Platform,E,GBA,Activision,Digital Eclipse,7.9,,1.33,0.92,0.35,0.01,0.05,2002,1,,7.9
516,516,30,Grand Theft Auto: Vice City,Action,M,PS2,Rockstar Games,Rockstar North,9.6,,16.15,8.41,5.49,0.47,1.78,2002,1,,9.6
525,525,934,Need for Speed: Hot Pursuit 2,Racing,E,PS2,Electronic Arts,EA Seattle,8.7,,2.11,1.68,0.31,0.02,0.09,2002,1,,8.7
541,541,7127,Mister Mosquito,Shooter,T,PS2,Eidos Interactive,Zoom Inc.,6.6,,0.28,0.05,0.04,0.17,0.01,2002,1,,6.6
545,545,3899,2002 FIFA World Cup,Sports,E,PS2,EA Sports,EA Canada,7.9,,0.59,0.21,0.17,0.16,0.06,2002,1,,7.9
550,550,5724,Grandia Xtreme,Role-Playing,T,PS2,Enix,Game Arts,6.7,,0.38,0.07,0.05,0.25,0.02,2002,1,,6.7
557,557,3719,Wild ARMs 3,Role-Playing,T,PS2,Sony Computer Entertainment,Media.Vision,7.6,,0.62,0.16,0.13,0.29,0.04,2002,1,,7.6
564,564,4947,Phantasy Star Online Episode I & II,Role-Playing,T,GC,Sega,Sonic Team,8.2,,0.45,0.23,0.06,0.16,0.01,2002,1,,8.2
567,567,350,Madden NFL 2003,Sports,E,PS2,EA Sports,EA Tiburon,9.4,,4.14,3.36,0.21,0.01,0.56,2002,1,,9.4
568,568,413,Tony Hawk's Pro Skater 4,Sports,T,PS2,Activision,Neversoft Entertainment,9.6,,3.67,2.13,1.18,0.01,0.35,2002,1,,9.6
