,index,Name,Genre,ESRB_Rating,Platform,Publisher,Developer,Critic_Score,User_Score,Total_Shipped,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year,status,Vgchartzscore,average_rating
3673,2844,Xenoblade Chronicles X,Role-Playing,T,WiiU,Nintendo,Monolith Soft,8.1,,0.84,0.34,0.29,0.15,0.06,2015,1,,8.1
3674,258,Halo 5: Guardians,Shooter,T,XOne,Microsoft Studios,343 Industries,8.6,,5.0,,,,,2015,1,,8.6
3675,3209,Need for Speed (2015),Racing,T,XOne,Electronic Arts,Ghost Games,6.7,,0.74,0.35,0.33,,0.06,2015,1,,6.7
3676,250,Fallout 4,Role-Playing,M,XOne,Bethesda Softworks,Bethesda Game Studios,8.4,,5.03,2.94,1.62,0.02,0.45,2015,1,,8.4
3677,8662,LBX: Little Battlers eXperience,Action,E10,3DS,Nintendo,Level 5,7.0,,0.21,,,0.21,,2015,1,,7.0
3678,380,NBA 2K16,Sports,E10,PS4,2K Sports,Visual Concepts,8.7,,3.98,2.56,0.66,0.05,0.71,2015,1,,8.7
3679,2942,Madden NFL 16,Sports,E,PS3,EA Sports,EA Tiburon,8.0,,0.81,0.6,0.07,,0.15,2015,1,,8.0
3680,264,Splatoon,Shooter,E10,WiiU,Nintendo,Nintendo EAD,8.4,,4.94,,,,,2015,1,,8.4
3681,6030,Dragon Ball Z: Extreme Butoden,Fighting,T,3DS,Namco Bandai Games,Arc System Works,5.0,,0.35,0.13,0.03,0.17,0.02,2015,1,,5.0
3682,11297,Rocket League,Sports,E,PC,Psyonix Studios,Psyonix Studios,9.2,,0.12,0.03,0.08,,0.01,2015,1,,9.2
3683,1359,Pokemon Super Mystery Dungeon,Role-Playing,E,3DS,Nintendo,ChunSoft,7.7,,1.6,,,,,2015,1,,7.7
3684,8259,Code Name: S.T.E.A.M.,Strategy,T,3DS,Nintendo,Intelligent Systems,8.0,,0.22,0.14,0.05,0.02,0.02,2015,1,,8.0
3685,120,Star Wars Battlefront (2015),Shooter,T,PS4,Electronic Arts,EA DICE,7.1,,8.03,3.31,3.19,0.23,1.3,2015,1,,7.1
3686,339,Monster Hunter 4 Ultimate,Role-Playing,T,3DS,Capcom,Capcom,8.8,,4.2,,,,,2015,1,,8.8
3687,118,FIFA 16,Sports,E,PS4,EA Sports,EA Canada,8.5,,8.22,1.15,5.77,0.07,1.23,2015,1,,8.5
3688,1411,Yoshi's Woolly World,Platform,E,WiiU,Nintendo,Good-Feel,7.4,6.0,1.55,,,,,2015,1,,6.7
3689,10844,Tropico 5,Simulation,T,PC,Kalypso Media,Haemimont Games,,,0.14,0.04,0.09,,0.01,2015,1,6.8,6.8
3690,10778,Rodea the Sky Soldier,Action-Adventure,E10,WiiU,NIS America,Kadokawa Games,7.0,,0.14,0.1,0.02,0.01,0.01,2015,1,,7.0
3691,6052,Dead or Alive 5 Last Round,Fighting,M,PS4,Tecmo Koei,Team Ninja,7.1,,0.35,0.09,0.13,0.09,0.04,2015,1,,7.1
3692,348,Star Wars Battlefront (2015),Shooter,T,XOne,Electronic Arts,EA DICE,6.9,,4.15,2.49,1.26,0.02,0.38,2015,1,,6.9
3693,3902,Skylanders: SuperChargers,Action-Adventure,E10,WiiU,Activision,Vicarious Visions,8.0,,0.59,0.32,0.22,,0.05,2015,1,,8.0
3694,5754,Hatsune Miku: Project Mirai DX,Misc,E10,3DS,Sega,Sega,7.5,,0.38,0.2,0.04,0.11,0.03,2015,1,,7.5
3695,8531,FIFA 16,Sports,E,PC,EA Sports,EA Canada,8.5,,0.21,0.07,0.13,,0.02,2015,1,,8.5
3696,3989,Kirby and the Rainbow Curse,Platform,E,WiiU,Nintendo,HAL Laboratory,8.2,,0.58,0.26,0.14,0.13,0.04,2015,1,,8.2
3697,11444,Fatal Frame: Maiden of Black Water,Misc,M,WiiU,Nintendo,Koei Tecmo Games,,5.8,0.12,,0.03,0.09,0.0,2015,1,,5.8
3698,355,Batman: Arkham Knight,Action,M,PS4,Warner Bros. Interactive,Rocksteady Studios,8.1,,4.11,1.65,1.68,0.11,0.66,2015,1,,8.1
3699,113,Fallout 4,Role-Playing,M,PS4,Bethesda Softworks,Bethesda Game Studios,8.6,,8.48,2.91,3.97,0.27,1.34,2015,1,,8.6
3700,1376,FIFA 16,Sports,E,X360,EA Sports,EA Canada,9.0,,1.59,0.59,0.88,,0.12,2015,1,,9.0
3701,12554,Dead or Alive 5 Last Round,Fighting,M,XOne,Tecmo Koei,Team Ninja,7.5,,0.1,0.05,0.03,0.01,0.01,2015,1,,7.5
3702,1334,The Order: 1886,Shooter,M,PS4,Sony Computer Entertainment,Ready at Dawn,6.2,,1.62,0.44,0.86,0.07,0.25,2015,1,,6.2
3703,6507,Payday 2,Shooter,M,PS4,505 Games,Overkill Software,6.5,,0.32,0.12,0.14,,0.05,2015,1,,6.5
3704,11218,Etrian Odyssey 2 Untold: Knight of Fafnir,Role-Playing,T,3DS,Atlus,Atlus,8.0,,0.13,0.09,0.02,,0.01,2015,1,,8.0
3705,774,NBA 2K16,Sports,E10,XOne,2K Sports,Visual Concepts,8.3,,2.41,2.01,0.15,,0.25,2015,1,,8.3
3706,1008,Bloodborne,Role-Playing,M,PS4,Sony Computer Entertainment,From Software,8.2,,2.0,,,,,2015,1,,8.2
